id,name,address,is-24-hours,status,telephone,types
27100,Causeway Bay ATM,"Causeway Bay ATM,  G/F, Yee Wah Mansion, 38-40A Yee Wo Street, Causeway Bay, Hong Kong",True,open,,atm
1117,Tuen Mun ATM,"Tuen Mun ATM,  G/F, Forward Mansion, 26A Yan Ching Street, Tuen Mun, New Territories",True,open,,atm
27164,Queen's Road East Branch ATM,"Queen's Road East Branch ATM,  G/F & 1/F, 208-212 Queen's Road East, Wanchai, Hong Kong",True,open,,atm
1123,Wanchai Great Eagle Centre ATM,"Wanchai Great Eagle Centre ATM,  Shop 113-120, 1/F Great Eagle Centre, 23 Harbour Road, Wanchai, Hong Kong",True,open,,atm
27147,Texaco Road McDonald's ATM,"Texaco Road McDonald's ATM,  Shop 1A, 2B, 3A-B, 9A-B & 9C, Podium A of G/F, Wealthy Garden, Shopping Arcade, Texaco Road, Tsuen Fu Street, Tsuen Wan, New Territories",True,open,,atm
27167,Elements Priority Banking Centre ATM,"Elements Priority Banking Centre ATM, Shops 2030-2031, 2/F, Elements, 1 Austin Road West, Tsim Sha Tsui, Kowloon",True,open,,atm
27149,Tsuen Wan McDonald's ATM,"G/F, 10 - 16 Market Street, Tsuen Wan, New Territories",True,open,,atm
27151,Yuk Wah Street McDonald's ATM,"Yuk Wah Street McDonald's ATM,  Shop No.1, Ground Floor, Manning Theatre Building,68 Yuk Wah Street, Tsz Wan Shan, Kowloon",True,open,,atm
27169,Morgan Stanley’s office at ICC ATM,"Morgan Stanley’s office at ICC ATM,  47/F, ICC, 1 Austin Road West, Kowloon",True,open,,atm
27152,Yau Ma Tei ATM,"Yau Ma Tei ATM,  G/F - 1/F, Ming Fong Bldg., 564 Nathan Road, Yau Ma Tei, Kowloon",True,open,,atm
27170,Yuen Long ATM,"Yuen Long ATM,  G/F 140 Yuen Long Main Road, Yuen Long, New Territories",True,open,,atm
27154,Fung Tak Shopping Centre ATM,"Fung Tak Shopping Centre ATM,  Besides Shop 201B, 2/F Fung Tak Shopping Centre, Fung Tak Estate, Diamond Hill, Wong Tai Sin, Kowloon",True,open,,atm
27155,LRT - Sam Shing Terminus ATM,"LRT - Sam Shing Terminus ATM, Sam Shing Terminus, Light Railway Transit, Tuen Mun, New Territories",True,open,,atm
27156,Sun Tuen Mun Centre ATM,"Sun Tuen Mun Centre ATM,  Shop Unit 75B on Level 2, Sun Tuen Mun Shopping Centre, 55-56 Lung Mun Road, Tuen Mun",True,open,,atm
27158,Hennessy Road ATM,"Hennessy Road ATM,  Shop B, Basement & G/F, Eastern Commercial Centre, 393-407 Hennessy Road, Wanchai, Hong Kong",True,open,,atm
27162,Wanchai Southorn ATM,"Wanchai Southorn ATM,  Shop C2 on G/F, and 1/F to 2/F, Lee Wing Building, No.156-162 Hennessy Road, Wanchai, Hong Kong",True,open,,atm
27126,Tseung Kwan O ATM,"Tseung Kwan O ATM,  Shop No. E037-E040, G/F, East Wing of TKO Gateway, Hau Tak Estate, Tseung Kwan O, New Territories",True,open,,atm
27128,68 Nathan Road ATM,"68 Nathan Road ATM,  Shop B1 on G/F, Golden Crown Court, 66-70 Nathan Road, Tsim Sha Tsui, Kowloon",True,open,,atm
27129,Canton Road ATM,"Canton Road ATM,  G/F & 1/F, Manley House, 86-98 Canton Road, Tsim Sha Tsui, Kowloon",True,open,,atm
27134,Tsim Sha Tsui East ATM,"Tsim Sha Tsui East ATM,  Shop 1D on G/F and shop 100 on 1/F, New Mandarin Plaza, No.14 Science Museum Road, Tsim Sha Tsui East, Kowloon",True,open,,atm
27137,Victoria Mall ATM,"Victoria Mall ATM, 1/F Victoria Mall, 188 Canton Road, Tsim Sha Tsui, Kowloon",True,open,,atm
27138,Cheung Wang Estate ATM,"Cheung Wang Estate ATM,  Beside Shop No.2 Cheung Wang Shopping Centre, Cheung Wang Estate, Tsing Yi, New Territories",True,open,,atm
27139,Maritime Square ATM,"Maritime Square ATM,  Shop 308E, Level 3, Maritime Square, Tsing Yi, New Territories",True,open,,atm
1080,Tai Po Mega Mall ATM,"Tai Po Mega Mall ATM,  Space OS-1, Level 2, Zone A, Tai Po Mega Mall, Tai Po, New Territories",True,open,,atm
27141,Chung On Street ATM,"Chung On Street ATM,  Shop No. 6 & 8 , Chau Hop Shing Bldg, 2 - 8 Chung On Street, Tsuen Wan, New Territories",True,open,,atm
1081,Tin Shui Wai Branch ATM,"Tin Shui Wai Branch ATM,  Shop L105, 1/F Tin Yiu Plaza, Tin Shui Wai, New Territories",True,open,,atm
27143,Tsuen Wan ATM,"Tsuen Wan ATM,  Shop C, G/F, Jade Plaza, 298-304 Sha Tsui Road, Tsuen Wan, New Territories",True,open,,atm
27113,Tai On Building ATM,"Tai On Building ATM,  Shops A & B, G/F & Shops 160-161, 1/F, Tai On Building, 85-87 Shaukiwan Road, Shaukiwan, Hong Kong",True,open,,atm
27115,Shek Tong Tsui ATM,"Shek Tong Tsui ATM,  Shop 8-12, G/F Dragonfair Garden, 455-485 Queen`s Road West, Shek Tong Tsui, Hong Kong",True,open,,atm
1065,Yu Chui Court ATM,"Yu Chui Court ATM,  Opposite to Shop No 122, 1/F Yu Chui Shopping Centre, Yu Chui Court, Shatin, New Territories",True,open,,atm
27091,Yen Chow Street McDonald's ATM,"Yen Chow Street McDonald's ATM,  G/F & M/F of Wing Luen Bldg., 78-86 Yen Chow Street, Sham Shui Po, Kowloon",True,open,,atm
27117,Sheung Shui Centre ATM,"Sheung Shui Centre ATM, Shops 1021-1023, Level 1,  Sheung Shui Centre, 3 Chi Cheong Road, Sheung Shui, New Territories",True,open,,atm
27092,Hin Keng Estate ATM,"Hin Keng Estate ATM,  G/F Wing B, Hin Keng Shopping Centre, Hin Keng Estate, Shatin, New Territories",True,open,,atm
27118,Shun Tak Centre 3/F ATM,"Shun Tak Centre 3/F ATM,  Adjacent to lift L37, 3/F, Shun Tak Centre, Sheung Wan, Hong Kong",True,open,,atm
27093,Hong Kong Science Park ATM,"Hong Kong Science Park ATM,  Shop S009, G/F, Core Building 1 at Phase One, Hong Kong Science Park, Pak Shek Kok, Tai Po, New Territories",True,open,,atm
27119,Island Resort ATM,"Island Resort ATM,  Corridor A, G/F Island Resort Mall, 28 Siu Sai Wan Road, Chai Wan, Hong Kong",True,open,,atm
27122,Metro Harbour Plaza ATM,"Metro Harbour Plaza ATM,  Opposite to Shop No G20, G/F Metro Harbour Plaza. 8 Fuk Lee Street, Tai Kok Tsui, Kowloon",True,open,,atm
27096,Tai Kok Tsui McDonald's ATM,"Tai Kok Tsui McDonald's ATM,  Shop No. J1 & J2 on G/FJ1 on 1/F Tai Fong Bldg, Cosmopolitan Estate 97-105 Tai Kok Tsui Rd, Tai Kok Tsui, Kowloon",True,open,,atm
27097,Cityplaza ATM,"Cityplaza ATM,  Shops 42-43, G/F, Cityplaza Phase II, 18 Taikoo Shing Road, Taikoo Shing, Quarry Bay, Hong Kong",True,open,,atm
