ACOP,ATM,ATMFCM,ATMRMB,Address,CDM,CHQ,CHQCUT,CS,Code,Disable,HourAMB,HourRemark,HourSat,HourSun,HourWeekdays,Name,Outlet,SDB,SEC,SubDistrict,WM
False,True,False,True,MTR Lei Tung Station (concourse),True,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Lei Tung Station,,False,False,H04,False
False,True,False,False,"Shop No.41A, Lei Chak House, Ap Lei Chau Estate (With Voice Navigation ATM)",True,False,N,False,NA,True,24-hours,,,,,Ap Lei Chau Estate,,False,False,H04,False
False,True,False,True,MTR South Horizons Station (paid concourse),True,False,,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR South Horizons Station,,False,False,H04,False
False,True,False,False,"8, Shum Wan Road, Aberdeen, HK",False,False,N,False,NA,True,24-hours,,,,,Aberdeen Marina Club,,False,False,H04,False
False,True,False,True,MTR Wong Chuk Hang Station (near Exit B),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Wong Chuk Hang Station,,False,False,H04,False
False,True,False,True,MTR Ocean Park Station (near Exit A),True,False,,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Ocean Park Station,,False,False,H04,False
False,True,False,True,"Level 2, The Pulse, 28 Beach Road, Repulse Bay, Hong Kong",False,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,The Pulse,,False,False,H04,False
False,True,False,False,"G/F, Officers’ Club Correctional Services Dept., 51 Tung Tau Wan Road, Stanley",False,False,,False,NA,True,24-hours,,,,,Stanley Officers' Club CSD,,False,False,H04,False
False,True,False,False,"G/F, Empire Centre, 68 Mody Road, Tsim Sha Tsui",True,True,5:30pm,False,NA,True,Subject to Mall Opening Hours,,,,,Empire Centre Automated Banking Centre,,False,False,K01,False
False,True,False,False,MTR East Tsim Sha Tsui Station (near Exit K) (With Voice Navigation ATM)<br/>MTR East Tsim Sha Tsui Station (near Exit P1),True,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR East Tsim Sha Tsui Station,,False,False,K01,False
False,True,True,False,MTR Tsim Sha Tsui Station (Exit D) (With Foreign Currency ATM & Voice Navigation ATM)<br/>MTR Tsim Sha Tsui Station (Exit H)<br/>MTR Tsim Sha Tsui Station (Paid Concourse),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Tsim Sha Tsui Station,,False,False,K01,False
True,True,False,False,4 Hankow Road,True,True,5:00pm,True,295,False,"ATM : 24-hours <br/> Cash & Cheque Deposit Machine : 09:00 - 19:00 (Mon. - Fri.) , 09:00 - 13:00 (Sat.)",Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Hankow Road Branch,BR,True,False,K01,True
True,True,False,True,18 Carnarvon Road,True,True,5:30pm,True,286,False,24 Hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Tsimshatsui Branch,BR,True,False,K01,True
False,True,False,True,MTR Jordan Station (near Exit A/B),True,True,6:00pm,True,306,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),Counter Service,10:00 - 14:00,,10:00 - 18:00,MTR Jordan Station (MTR Station Office),MTR,False,False,K01,False
False,True,False,False,MTR Jordan Station (near Exit C)<br/>MTR Jordan Station (near Exit E) (With Voice Navigation ATM),False,False,,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Jordan Station,,False,False,K01,False
True,True,False,False,363 Nathan Road,True,True,5:00pm,True,284,False,"ATM : 24-hours <br/>Cash & Cheque Deposit Machine : 09:00 - 19:00 (Mon. - Fri.) , 09:00 - 13:00 (Sat.)",Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Securities Service / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Yaumati Branch,BR,True,True,K01,True
False,True,False,True,MTR Yau Ma Tei Station (near Exit A)<br/>MTR Yau Ma Tei Station (near Exit D) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Yau Ma Tei Station,,False,False,K01,False
True,True,False,False,618 Nathan Road,True,True,5:00pm,True,293,False,"Multi Function ATM : 24-hours <br/> Cash & Cheque Deposit Machine : 09:00 - 19:00 (Mon. - Fri.) , 09:00 - 13:00 (Sat.)",Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Securities Service / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Kowloon Main Branch,BR,True,True,K01,True
True,True,False,False,86 Waterloo Road,True,True,5:30pm,True,922,True,24 Hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management  / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Waterloo Road Prestige & Preferred Banking Centre,PNP,True,False,K01,True
False,True,False,True,"G/F, Hang Seng 113, 113 Argyle Street, Mongkok",True,True,5:30pm,False,NA,True,24-hours,,,,,Hang Seng 113 Automated Banking Centre,,False,False,K01,False
False,True,False,True,MTR Mong Kok East Station (Paid concourse) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Mong Kok East Station,,False,False,K01,False
False,True,False,True,"Shop 146A Level, MOKO",True,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,MOKO,,False,False,K01,False
False,True,False,False,MTR Mong Kok Station (near Exit D) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Mong Kok Station,,False,False,K01,False
True,True,True,False,677 Nathan Road (With Foreign Currency ATM & Voice Navigation ATM),True,True,5:30pm,True,929,True,24 Hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Mongkok Prestige & Preferred Banking Centre,PNP,True,False,K01,True
True,True,False,True,"Shop 4, Foo Tat Building, G/F 50 Soy Street",True,False,N,False,935,True,Mon. - Sun. : 11:30 - 19:30,Accounts Opening or Enquiry (Personal) <br/> Know more on iPoint <a target='_blank' href='http://www.hangseng.com/iPoint'>www.hangseng.com/iPoint</a>,11:30 - 19:30,11:30 - 19:30,11:30 - 19:30,Mongkok Sales & Service Centre,iPoint,False,False,K01,False
False,True,False,False,"G/F., Ming Tai House, 1 Ivy Street., Tai Kok Tsui",True,True,5:30pm,False,NA,False,24 Hours,,,,,Tai Kok Tsui Automated Banking Centre,,False,False,K01,False
False,True,False,True,"Shop No.1, G/F, Tai Shing Building, 70-86 Ivy Street, Kowloon",True,True,5:30pm,False,NA,True,24 Hours,,,,,Ivy Street Automated Banking Centre,,False,False,K01,False
False,True,True,False,MTR Prince Edward Station (near Exit A) (With Foreign Currency ATM)<br/>MTR Prince Edward Station (concourse) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Prince Edward Station,,False,False,K01,False
True,True,False,True,141 Prince Edward Road,True,True,5:30pm,True,232,True,24 Hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,09:00 - 13:00,,09:00 - 17:00,141 Prince Edward Road Branch,BR,False,False,K01,True
False,True,False,False,MTR Kowloon Station (near Exit C),True,True,6:00pm,True,757,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),Counter Service,10:00 - 14:00,,10:00 - 18:00,MTR Kowloon Station (MTR Station Office),MTR,False,False,K01,False
False,True,False,True,"Metal Area, Second level, 1 Austin Rd W, Tsim Sha Tsui",True,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,Element,,False,False,K01,False
